洲別,國別,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
亞洲,大陸地區,0 ,0 ,"9,462 ",0 ,0 ,18 ,"25,824 ",0 ,0 
亞洲,馬來西亞,"5,449 ","7,984 ",0 ,84 ,"1,255 ",338 ,0 ,"2,309 ",202 
亞洲,香港,0 ,"8,329 ",0 ,120 ,138 ,41 ,0 ,0 ,0 
亞洲,日本,"1,183 ",157 ,0 ,593 ,"1,480 ","5,000 ",0 ,0 ,0 
亞洲,越南,"3,884 ",581 ,0 ,126 ,878 ,"2,541 ",0 ,22 ,525 
亞洲,印尼,"2,662 ","1,401 ",0 ,203 ,902 ,"1,959 ",0 ,121 ,0 
亞洲,澳門,0 ,"5,116 ",0 ,17 ,3 ,1 ,0 ,0 ,0 
亞洲,南韓,747 ,170 ,0 ,635 ,354 ,"2,658 ",0 ,1 ,0 
亞洲,泰國,635 ,212 ,0 ,233 ,870 ,884 ,0 ,2 ,13 
亞洲,印度,"1,034 ",0 ,0 ,42 ,612 ,384 ,0 ,0 ,0 
亞洲,蒙古,945 ,0 ,0 ,13 ,5 ,439 ,0 ,0 ,0 
亞洲,菲律賓,236 ,36 ,0 ,34 ,466 ,404 ,0 ,0 ,19 
亞洲,緬甸,73 ,524 ,0 ,2 ,159 ,15 ,0 ,53 ,6 
亞洲,新加坡,102 ,91 ,0 ,164 ,197 ,54 ,0 ,0 ,10 
亞洲,俄羅斯,134 ,1 ,0 ,39 ,11 ,247 ,0 ,0 ,0 
亞洲,土耳其,65 ,0 ,0 ,16 ,2 ,106 ,0 ,0 ,0 
亞洲,柬埔寨,13 ,0 ,0 ,0 ,103 ,9 ,0 ,0 ,0 
亞洲,尼泊爾,70 ,0 ,0 ,2 ,5 ,17 ,0 ,0 ,0 
亞洲,巴基斯坦,66 ,0 ,0 ,0 ,5 ,21 ,0 ,0 ,0 
亞洲,斯里蘭卡,83 ,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 
亞洲,伊朗,46 ,0 ,0 ,0 ,5 ,23 ,0 ,0 ,0 
亞洲,以色列,10 ,0 ,0 ,9 ,6 ,41 ,0 ,0 ,0 
亞洲,約旦,31 ,4 ,0 ,0 ,1 ,21 ,0 ,0 ,0 
亞洲,寮國,21 ,2 ,0 ,0 ,0 ,18 ,0 ,0 ,0 
亞洲,汶萊,5 ,12 ,0 ,0 ,14 ,0 ,0 ,8 ,0 
亞洲,孟加拉,22 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 
亞洲,吉爾吉斯,15 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 
亞洲,伊拉克,9 ,0 ,0 ,0 ,2 ,5 ,0 ,0 ,0 
亞洲,哈薩克,8 ,0 ,0 ,0 ,1 ,6 ,0 ,0 ,0 
亞洲,不丹,1 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 
亞洲,烏茲別克,6 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 
亞洲,葉門,4 ,3 ,0 ,0 ,0 ,3 ,0 ,0 ,0 
亞洲,巴勒斯坦,4 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 
亞洲,沙烏地阿拉伯,0 ,1 ,0 ,1 ,2 ,3 ,0 ,0 ,0 
亞洲,土庫曼,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
亞洲,塔吉克,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
亞洲,阿拉伯聯合大公國,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
亞洲,亞美尼亞,1 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 
亞洲,賽普勒斯,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 
亞洲,科威特,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
亞洲,敘利亞,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
亞洲,馬爾地夫,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
亞洲,亞塞拜然,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
亞洲,摩爾多瓦,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
大洋洲,澳大利亞,31 ,10 ,0 ,27 ,101 ,294 ,0 ,0 ,0 
大洋洲,紐西蘭,7 ,19 ,0 ,4 ,10 ,141 ,0 ,0 ,0 
